Public Food Key,Food Profile ID,Derivation,Food Name,Food Description,Sampling Details,Nitrogen Factor,Fat Factor,Specific Gravity,Analysed Portion,Unanalysed Portion,Classification,Classification Name
F001168,2291,Analysed,"Biscuit, sweet, biscuit base, mint filling, chocolate-coated","Commercially prepared sweet biscuit, generally chocolate flavoured, sandwiched with sweetened creamy mint filling and coated in chocolate.","Na, I, fat and fatty acids were derived from a sample of mint cream filled chocolate coated biscuits (Arnott's Mint Slice) purchased in NSW and SA in 2009. Proximates and minerals (Ca, Fe, K, Mg, Zn), cholesterol and trans fat were derived from a composite of 6 samples of biscuits (Arnott's Gaiety, Mint Slice, and Tim Tams, Nabisco Choco-ade, Golden Toffees and Rum Slice) purchased in Adelaide. Proximates, vitamins (B1, B2, B3, C, carotenes, cryptoxanthin, retinol), minerals (Ca, Cu, Fe, K, Mg, Mn, P, Zn) and cholesterol were derived from a composite of 6 samples of biscuits (1x Arnott's Mint Slice, 1x Arnott's Gaiety, 2x Arnott's Tim Tams, 1xWestons Choc Mint Cream and 1x Nabisco Hazelnut Slice) purchased in Adelaide in 1987. Sugar profiles from these 2 analyses were adjusted based on label data for Arnott's Mint Slice available in 2011. Caffeine was derived from a composite of 8 samples of chocolate coated, filled and chocolate chip biscuits purchased in VIC in 2002. fibre, vitamin D, folic acid and alcohol were imputed zero.",6.25,0.95,0,100%,0%,13106,"Sweet biscuits, chocolate-coated, chocolate or cream filled"
F001234,14578,Analysed,"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style","Commercially prepared sweet biscuit, generally chocolate flavoured, sandwiched with sweetened creamy filling and coated in chocolate.","The majority of nutrient data were derived from a composite of 8 samples of Tim Tam style biscuits (5x Arnott's Tim Tam original, 1x Coles Chocolate Surrenders, 1x  Belmont Just Divine, 1x Woolworths Choccy Slams) purchased in the ACT in 2018. Na, I, fat and fatty acids were also derived from 3 individual samples of cream filled chocolate coated biscuits (2x Arnott's Tim Tams and 1x Woolworths Select Chocolate Sandwich) purchased in NSW and SA in 2008. Fat and fatty acids were also derived from 1 sample of Tim Tams purchased in NSW 2013. Caffeine was also determined in a composite sample of chocolate coated, filled and chocolate chip biscuits purchased in VIC in 2002. Resistant starch was derived from a composite of 3 samples of sweet cream or jam filled biscuits (1x Nabisco Oreo, 1x Arnott's Monte Carlo, 1x Arnott's Shortbread Cream) purchased in NSW in 2012. Fibre was analysed in the 2018 and 2012 samples. Alcohol and vitamin D were imputed zero.",6.25,0.95,0,100%,0%,13106,"Sweet biscuits, chocolate-coated, chocolate or cream filled"
F001233,2295,Analysed,"Biscuit, sweet, sandwich, cream & jam filling","Commercially prepared, non-chocolate flavoured sweet biscuit sandwiched with jam and sweetened creamy filling.","Na, I, fat and fatty acids were derived from 1 individual sample of Monte Carlo's purchased in NSW in 2009. Sugars, vitamins and minerals were derived from a composite of 6 samples of biscuits (2x Arnott's Iced VoVo's, 2x Arnott's Jamboree and 2x Arnott's Monte Carlos) purchased in Adelaide in 1988 and from a composite of 4 samples of biscuits (Arnott's Iced VoVo, Jamboree, Monte Carlo and Nabisco Zodiac Cookies) purchased in Sydney in 1989. Resistant starch and fibre were derived from a composite of 3 samples of sweet cream or jam filled biscuits (1x Nabisco Oreo, 1x Arnott's Monte Carlo, and 1x Arnott's Shortbread Cream) purchased in NSW in 2012. Se was imputed from Anzac biscuits. Vitamins (alpha-tocopherol, folate, B6, B12) were imputed from plain sweet biscuits. Caffeine, alcohol, vitamin D and folic acid were imputed zero.",6.25,0.95,0,100%,0%,13104,"Sweet biscuits, cream-filled"
F001251,2296,Analysed,"Biscuit, sweet, wheatmeal",Commercially prepared sweet biscuit made from wheat flour with added wheatmeal.,"Fat and fatty acids were derived from 1 sample of Arnott's Shredded Wheat biscuits purchased VIC in 2013. Proximates (starch, moisture, individual sugars), minerals (Ca, Fe, K, Mg, Na, Zn) and cholesterol were derived from a composite of 3 samples of biscuits (Arnott's Granita, Shredded Wheatmeal and Weston's Shredded Wheatmeal) purchased in Sydney in 1989. Proximates (moisture, fibre, starch, individual sugars), vitamins (B1, B2, B3, C, carotenes, retinol, cryptoxanthin) and minerals (Ca, Cu, Fe, K, Mg, Mn, Na, P, Zn) were derived from a composite of 6 samples of biscuits (2x Arnott's Granita, 2x Arnott's Shredded Wheatmeal and 2x Weston Shredded Wheatmeal) purchased in Adelaide in 1988. Iodine, Se, Cr, Ni and Mo were determined in 6 samples of various types of plain sweet biscuits purchased in NSW, QLD and Vic in November 2004 . Vitamins (alpha-tocopherol, B6, B12, folate), trans fat and tryptophan were imputed from plain sweet biscuits. Vitamins (C, folic acid, D), alcohol and caffeine were imputed zero. Note low sum of proximates - data should be used with caution.",6.25,0.95,0,100%,0%,13101,"Sweet biscuits, plain or flavoured including short bread varieties"
F003095,15068,Analysed,"Cone, wafer style, for ice cream","Wafer shaped into a cone or similar shape, used for serving ice cream.","The majority of nutrient data were derived from a composite of 6 samples of ice cream cones (3x Peters single cones and 3x Streets Fun cones) purchased in Adelaide in 1987. Moisture, vitamins (B6, alpha-tocopherol, pantothenate, biotin) and minerals (Cl, F, S, Se) were derived from a composite of 8 samples of ice cream cones purchased in Adelaide in 1993. Ash, folate, I and tryptophan were borrowed from NZ FOODfiles 2014, U1006 - Wafer, ice cream cone. Trans fat was imputed from plain sweet biscuit. Alcohol, caffeine and vitamins (B12, folic acid, D, retinol) were imputed zero. Note low sum of proximates - data should be used with caution.",5.7,0.67,0,100%,0%,13101,"Sweet biscuits, plain or flavoured including short bread varieties"
F001683,1972,Recipe,"Breadcrumbs, white",Crisp crumbs crushed from white bread which has been dried and packaged before sale. Contains added folic acid and iodised salt.,These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001387,1932,Analysed,"Bread, damper, from white flour, homemade","Round, chemically leavened bread with a thick rough crust and soft inner crumb. Homemade from basic ingredients such as white wheat flour, salt, water or milk and sugar.","The majority of nutrient data were derived from a composite of 6 samples of homemade damper made using white wheat flour in 2014. Fibre, starch, retinol and total trans fatty acids were imputed from homemade damper recipes used in AUSNUT 2011-13. Caffeine, alcohol and vitamin D were imputed zero. Note low sum of proximates - data should be used with caution.",5.7,0.89,0,100%,0%,12203,"Breads, and bread rolls, white, not stated as to fortification"
F001420,1933,Analysed,"Bread, flat (pita or Lebanese), white, commercial","Flat bread made from white wheat flour. Includes a range of styles, including Lebanese, pita, naan, tortillas, mountain bread and wraps. May vary in diameter. Contains added folic acid, iodised salt and thiamin. Ready to eat.","The majority of nutrients were derived from a composite of 8 samples of flat breads (2x Diego's Tortilla, 1x Bazaar, 1x Woolworths Select, 1x Kobz, 1x Mountain Bread, 1x Wattle Valley soft wraps and 1x unbranded Indian style) purchased nationally in 2010. Folate, folic acid, B1, I, Na and moisture were determined by individual analysis of the same samples. Resistant starch and fibre were derived from a composite of 3 samples of white Lebanese bread (1x Bazaar, 1x Kohbz, and 1x Mission) purchased in NSW in 2012. Cholesterol, beta-carotene, vitamin D, caffeine and alcohol were imputed zero.",5.7,0.89,0,100%,0%,12302,"Flat breads (e.g. Pita bread), wheat based"
F001404,1973,Analysed,"Bread, flat (pita or Lebanese), wholemeal, commercial","Double layered, Middle Eastern style flat bread made from wholemeal wheat flour with a small amount of crumb adhering to both crusts. May vary in diameter. Contains added folic acid, iodised salt and thiamin.","Proximates (moisture, fat, ash, carbohydrates), fatty acids, vitamins and minerals were derived from a composite sample of 3 individual loaves of Lebanese wholemeal bread purchased at bakeries located around Australia in 1994. Proximates and carotenes were derived from a composite sample of multiple purchases of 2 brands (Universal Bakeries and Homebake) in Adelaide in 1988. Iodine was imputed from white flat bread and folic acid was estimated based on the proportion of flour. Cholesterol, vitamins C and D, alcohol and caffeine were imputed zero.",5.83,0.9,0,100%,0%,12302,"Flat breads (e.g. Pita bread), wheat based"
F001463,14627,Analysed,"Bread, from white flour","Commercially prepared, sliced or unsliced bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodine and thiamin. Ready to eat.","The majority of the nutrients were derived from 4 analyses of white bread: (1) individual and a composite of 8 samples (2x Tip Top, 1x Abbott’s, 1x Bakers Life, 1x Helga’s, 1x Coles brand, 1x Bakers Delight, 1x Independent Bakery) purchased in five states in Australia in 2019; (2) 27 individual samples and a composite of 8 samples purchased nationally in 2010;  (3) a composite of 8 samples (Bakers Delight) purchased nationally in 2008; and (4) individual and a composite of 10 samples (4x Mighty Soft, 2x Helga's, 1x Sunblest, 1x Foodland, 1x Super Soft, 1x Master White) purchased nationally in 2006. Resistant starch was derived from a composite of 3 samples of white bread purchased in 2012. Alcohol, caffeine, cholesterol and vitamin D were imputed zero.",5.7,0.89,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001541,14632,Analysed,"Bread, from white flour, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid and iodine, in addition to thiamin. Cooked by toasting after purchase.","The majority of nutrient data were derived from individual and composite analysis of 8 samples of toasted white bread (2x Tip Top, 1x Bakers Delight, 1x Abbott's, 1x Bakers Life, 1x Helga's, 1x Coles brand, 1x Independent bakery) purchased in five states across Australia in 2019. Proximates (fibre, starch), vitamins (B1, B3, folic acid) and minerals were determined via individual analysis of these samples. Vitamins (beta-carotene, B12) and fatty acids were determined in untoasted portions of the samples from the same program. Alcohol, vitamins (C, D, retinol), cholesterol and caffeine were imputed zero.",5.7,0.89,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001466,1938,Analysed,"Bread, from white flour, added calcium","Commercially prepared bread made from white, wheaten bread flour and other permitted ingredients. Contains added calcium, folic acid, iodised salt and thiamin.","Proximates, fatty acids, vitamins (except for folates and B1) and minerals (except for Ca, Na and I) were derived from a composite of 8 samples of white bread purchased nationally in 2010. Vitamins (folate, folic acid, B1), Na, I and moisture were determined by individual analysis of 27 samples (1x Lawson's, 3x Coles, 3x Bakers Delight, 9x local bakeries, 1x Supabarn, 1x Abbotts village, 1x Woolworths, 2x Aldi, 2x Foodland, 1x CRIPPS, 1x Mighty soft, 1x Wonderwhite, and 1x Tip Top). Proximates, vitamins, tryptophan and fatty acids were also derived from a composite of 8 samples of bakers delight bread purchased nationally in 2008 and from a composite of 10 purchases of regular white bread (4x Mighty Soft, 2x Helga's, 1x Sunblest, 1x Foodland, 1x Super Soft, 1x Master White) purchased nationally in each state and territory capital city and two regional centres in NSW and QLD in 2006. Vitamins (folate, folic acid, B1) and Na were also determined in 32 individual samples of white bread ( 11x local bakeries, 4x Woolworths, 3x Bakers Delight, 2x Lawson's, 2x Tip Top, 1x Coles, 1x Helga's, 1x Abbotts, 1x Bakers Life, 1x Superbarn, 1x Aldi, 1x IGA, 1x Foodland, 1x Wonder White and 1x Mia's Bakery) purchased nationally in 2012. Iodine was determined in 23 of these samples. Moisture, Na and I were further determined in 37 individual samples of white bread (5x local bakeries, 5x Tip Top, 4x Woolworths, 3x Coles, 3x Bakers Delight, 3x Helga's, 2x Lawson's, 2x Abbotts Village, 2x Brumby's, 2x Wonder White, 1x Superbarn, 1x IGA, 1x Buttercup, 1x Aldi, 1x Mighty Soft and 1x unknown) purchased nationally in 2013. Resistant starch and fibre were derived from a composite of 3 samples of white bread (1x Mighty Soft, 1x Helga's and 1x Tip Top) purchased in NSW in 2012. Minerals (except I) were determined in 10 purchases of Wonder White + Ca fortified bread purchased nationally in 2006. Cholesterol, vitamin D, caffeine and alcohol were imputed zero.",5.7,0.89,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001467,1939,Recipe,"Bread, from white flour, added calcium, toasted","Commercially prepared bread made from white, wheaten bread flour and other permitted ingredients. Contains added calcium, folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001468,1940,Analysed,"Bread, from white flour, added fibre","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added fibre and/or added high amylose maize starch, folic acid, iodised salt and thiamin.","Proximates (except fibre), fatty acids, vitamins (except for folates and B1) and minerals (except for Na and I) were derived from a composite of 8 samples of white bread purchased nationally in 2010. Vitamins (folate, folic acid, B1), Na, I and moisture were determined in 27 individual samples (1x Lawson's, 3x Coles, 3x Bakers Delight, 9x local bakeries, 1x Supabarn, 1x Abbotts village, 1x Woolworths, 2x Aldi, 2x Foodland, 1x CRIPPS, 1x Mighty soft, 1x Wonderwhite, and 1x Tip Top). Proximates, vitamins, minerals and fatty acids were also derived from a composite of 8 samples of Bakers Delight bread purchased nationally in 2008. Proximates (protein, sugars, fibre, moisture) and tryptophan were also determined in a composite of 10 purchases of white bread with added fibre (4x Wonder White, Master, Mias, TipTop, Coles, Bakers Delight) purchased nationally in each state and territory capital city and two regional centres in NSW and QLD in 2006. Vitamins (folate, folic acid, B1) and Na were also determined in 32 individual samples of white bread (11x local bakeries, 4x Woolworths, 3x Bakers Delight, 2x Lawson's, 2x Tip Top, 1x Coles, 1x Helga's, 1x Abbotts, 1x Bakers Life, 1x Superbarn, 1x Aldi, 1x IGA, 1x Foodland, 1x Wonder White and 1x Mia's Bakery) purchased nationally in 2012. Iodine was determined in 23 of these samples. Moisture, Na and I were further determined in 37 individual samples (5x local bakeries, 5x Tip Top, 4x Woolworths, 3x Coles, 3x Bakers Delight, 3x Helga's, 2x Lawson's, 2x Abbotts Village, 2x Brumby's, 2x Wonder White, 1x Superbarn, 1x IGA, 1x Buttercup, 1x Aldi, 1x Mighty Soft and 1x unknown) of white bread purchased nationally in 2013. Resistant starch and fibre were derived from a composite of 3 samples of white bread with added fibre (1x Wonder White vitamins and minerals, 1x Woolworths White vitamins and minerals and 1x Tip Top) purchased in NSW in 2012. Vitamin C was determined in a composite of 3 individual loaves of white bread with added fibre purchased at bakeries nationally in 1993. Vitamins (retinol, D, beta-carotene), alcohol, caffeine and cholesterol were imputed zero.",5.7,0.89,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001479,1941,Recipe,"Bread, from white flour, added fibre, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added fibre and/or added high amylose maize starch, folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001482,1942,Analysed,"Bread, from white flour, added iron","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added iron salts, folic acid, iodised salt and thiamin.","Proximates (except fibre), fatty acids, vitamins (except for folates and B1) and minerals (except for Na and I) were derived from a composite of 8 samples of white bread purchased nationally in 2010. Vitamins (folate, folic acid,B1), Na, I and moisture were determined in 27 individual samples (1x Lawson's, 3x Coles, 3x Bakers Delight, 9x local bakeries, 1x Supabarn, 1x Abbotts village, 1x Woolworths, 2x Aldi, 2x Foodland, 1x CRIPPS, 1x Mighty soft, 1x Wonderwhite, and 1x Tip Top). Proximates, vitamins (except folates), minerals (except Fe and I) and fatty acids were also derived from a composite of 8 samples of bakers delight bread purchased nationally in 2008. Proximates, vitamins and tryptophan were also derived from individual and composite of 10 purchases of 6 brands of white bread (4x Mighty Soft, 2x Helga's, 1x Sunblest, 1x Foodland, 1x Super Soft, 1x Master White) purchased nationally in each state and territory capital city and two regional centres in NSW and QLD. Minerals were determined in 9 samples of Wonder Gold + Fe, Fe and folic acid fortified bread purchased nationally as part of the same program. Folate, folic acid, B1 and Na were also determined in 32 individual samples of white bread ( 11x local bakeries, 4x Woolworths, 3x Bakers Delight, 2x Lawson's, 2x Tip Top, 1x Coles, 1x Helga's, 1x Abbotts, 1x Bakers Life, 1x Superbarn, 1x Aldi, 1x IGA, 1x Foodland, 1x Wonder White and 1x Mia's Bakery) purchased nationally in 2012. Iodine was determined in 23 of these samples. Moisture, Na and I were further determined in 37 individual samples of white bread (5x local bakeries, 5x Tip Top, 4x Woolworths, 3x Coles, 3x Bakers Delight, 3x Helga's, 2x Lawson's, 2x Abbotts Village, 2x Brumby's, 2x Wonder White, 1x Superbarn, 1x IGA, 1x Buttercup, 1x Aldi, 1x Mighty Soft and 1x unknown) purchased nationally in 2013. Resistant starch and fibre were derived from a composite of 3 samples of white bread (1x Mighty Soft, 1x Helga's and 1x Tip Top) purchased in NSW in 2012. Cholesterol, vitamin D, alcohol and caffeine were imputed zero.",5.7,0.89,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001483,1943,Recipe,"Bread, from white flour, added iron, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added iron salts, folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001484,1944,Analysed,"Bread, from white flour, added omega-3 polyunsaturates","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added omega-3 fatty acids, folic acid, iodised salt and thiamin.","Proximates, vitamins (except for folates and B1) and minerals (except for Na and I) were derived from a composite of 8 samples of white bread purchased nationally in 2010. Folate, folic acid, I, B1, Na and moisture were determined in 27 individual samples (1x Lawson's, 3x Coles, 3x Bakers Delight, 9x local bakeries, 1x Supabarn, 1x Abbotts village, 1x Woolworths, 2x Aldi, 2x Foodland, 1x CRIPPS, 1x Mighty soft, 1x Wonderwhite, and 1x Tip Top). Proximates, vitamins, minerals, tryptophan were also derived from of 8 samples of Bakers Delight white bread purchased nationally in 2008. Fat and fatty acids were determined in 5 purchases of white bread with added Omega-3 (3x Buttercup Wonder White Omega-3 DHA, Tip Top Up Omega-3, Woolworths White Plus Omega-3) purchased in Sydney in 2005. Folate, folic acid, B1 and Na were also determined in 32 individual samples of white bread (11x local bakeries, 4x Woolworths, 3x Bakers Delight, 2x Lawson's, 2x Tip Top, 1x Coles, 1x Helga's, 1x Abbotts, 1x Bakers Life, 1x Superbarn, 1x Aldi, 1x IGA, 1x Foodland, 1x Wonder White and 1x Mia's Bakery) purchased nationally in 2012. Iodine was determined in 23 of these samples. Moisture, Na and I were also determined in 37 individual samples of white bread (5x local bakeries, 5x Tip Top, 4x Woolworths, 3x Coles, 3x Bakers Delight, 3x Helga's, 2x Lawson's, 2x Abbotts Village, 2x Brumby's, 2x Wonder White, 1x Superbarn, 1x IGA, 1x Buttercup, 1x Aldi, 1x Mighty Soft and 1x unknown) purchased nationally in 2013. Resistant starch and fibre were derived from a composite sample of 3 brands of white bread (1x Mighty Soft, 1x Helga's and 1x Tip Top) purchased in NSW in 2012. Cholesterol, vitamin D, alcohol and caffeine were imputed zero.",5.7,0.89,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001485,1945,Recipe,"Bread, from white flour, added omega-3 polyunsaturates, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added omega-3 fatty acids, folic acid and iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001543,1946,Analysed,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe","Commercially prepared bread made from white, wheaten Jackaroo brand bread-making flour specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1 and folate, iron and other permitted ingredients.","The majority of nutrient data were derived from a composite of 5 samples of white Jackaroo bread provided by George Weston Foods in 2014. Natural folates were imputed from regular white bread. Fibre and starch were based on label information for Jackaroo bread available in 2014. Alcohol, retinol, vitamin D, trans fatty acids and caffeine were imputed zero. Note high sum of proximates - data should be used with caution.",5.7,0.89,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001544,1947,Recipe,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted","Commercially prepared bread made from white, wheaten Jackaroo brand bread-making flour specifically formulated in conjunction with the Northern Territory Government. Contains added vitamins B1 and folate, iron and other permitted ingredients. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12202,"Breads, and bread rolls, white, additional voluntary fortification"
F001528,1950,Analysed,"Bread, from white flour, Italian-style, commercial","Commercially prepared, Italian style bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodised salt and thiamin.","The majority of nutrient data were derived from a composite of 8 samples of Italian style bread (5x Pane di casa and 3x Ciabatta) purchased from bakeries and supermarkets in ACT in 2013. Alcohol, caffeine, cholesterol, vitamin D and retinol were imputed zero.",5.7,0.89,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001529,1951,Recipe,"Bread, from white flour, Italian-style, commercial, toasted","Commercially prepared, Italian style bread made from white, wheaten bread-making flour and other permitted ingredients. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001358,1953,Recipe,"Bread roll, from white flour, toasted","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12201,"Breads, and bread rolls, white, mandatorily fortified"
F001372,3732,Recipe,"Bread roll, topped with cheese","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Topped or mixed with grated cheddar cheese.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12304,Savoury filled or topped breads and bread rolls
F001373,3733,Recipe,"Bread roll, topped with cheese & bacon","Commercially prepared bread made from white, wheaten bread-making flour and other permitted ingredients. Topped or mixed with grated cheddar cheese and bacon.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12304,Savoury filled or topped breads and bread rolls
F001597,1955,Recipe,"Bread, from wholemeal flour, toasted","Commercially prepared sliced or unsliced bread made from wheat flour containing all the milled constituents of the wheat grain. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified"
F001573,1956,Recipe,"Bread, from wholemeal flour, extra grainy & seeds","Commercially prepared bread made from wholemeal wheat flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified"
F001576,1957,Recipe,"Bread, from wholemeal flour, extra grainy & seeds, toasted","Commercially prepared bread made from wholemeal wheat flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified"
F001360,1958,Analysed,"Bread roll, from wholemeal flour","Commercially prepared bread made from wholemeal, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.","Proximates (moisture, fat, ash, carbohydrates), vitamins (except alpha-tocopherol), minerals and fatty acids were derived from a composite sample of 3 individual wholemeal rolls purchased at bakeries located around Australia in 1994. Moisture and vitamins (folates, B1, B12, alpha-tocopherol, beta tocopherol, delta tocopherol, gamma tocopherol) were derived from a composite sample of 10 packets of wholemeal bread rolls purchased in Melbourne and Sydney in 2000. Proximates and carotenes were derived from a composite sample of 6 brands of wholemeal bread rolls purchased in Adelaide in 1987. Folic acid and iodine were imputed from wholemeal bread. Cholesterol, vitamin D, caffeine and alcohol were imputed zero.",5.83,0.9,0,100%,0%,12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified"
F001364,1959,Recipe,"Bread roll, from wholemeal flour, toasted","Commercially prepared bread made from wholemeal, wheaten bread-making flour and other permitted ingredients. Dough is shaped into individual serves before baking. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified"
F001545,1960,Analysed,"Bread, organic","Commercially prepared, sliced or unsliced bread made from white, wholemeal or rye wheaten bread-making flour and other permitted ingredients. May contain added folic acid and iodine, in addition to thiamin.","The majority of nutrient data including proximates, fatty acids, vitamins (except for folates and B1) and minerals (except for Na and I) were derived from a composite of 7 samples (1x Edwards, 2x local bakeries, 1x Supabarn, 1x BILLS, 1x Country Life and 1x Bodhis) of organic bread purchased nationally in 2010. Vitamins (folate, folic acid, B1), Na, I and moisture were determined in each of the 7 individual samples from the same program. Note: not all samples contained added folic acid, iodine and B1. Caffeine, vitamins (beta-carotene, retinol, D), alcohol and cholesterol were imputed zero.",5.77,0.9,0,100%,0%,12203,"Breads, and bread rolls, white, not stated as to fortification"
F001548,1961,Recipe,"Bread, organic, toasted","Commercially prepared, sliced or unsliced bread made from white, wholemeal or rye wheaten bread-making flour and other permitted ingredients. May contain added folic acid and iodine, in addition to thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12203,"Breads, and bread rolls, white, not stated as to fortification"
F001621,14615,Analysed,"Bread, mixed grain","Commercially prepared sliced or unsliced bread made from white and/or wholemeal flour with added kibbled grains. Contains added folic acid, iodised salt and thiamin.","The majority of the nutrients are derived from 3 analyses of mixed grain bread: (1) individual and a composite of 8 samples of multigrain bread (2x Tip Top, 2x Baker’s Life, 1x Bakers Delight, 1x Abbott’s, 1x Helga’s, 1x Coles brand) purchased across five states in 2019; (2) 17 individual samples and a composite of 8 samples of multigrain bread purchased nationally in 2010; and (3) a composite of 8 samples of Bakers Delight multi-grain bread purchased in 2008. Resistant starch was derived from a composite sample of 3 brands of mixed grain bread (1x Mighty Soft, 1x Helga's and 1x Abbotts) purchased in NSW in 2012. Sodium was analysed in via individual samples in 2019, 32 samples purchased nationally in 2012 and 29 samples purchased nationally in 2013. Iodine was analysed in individual samples from 2010, 2019, in 25 individual samples from 2012 and 27 individual samples from 2013. Other minerals were analysed in various combinations in individual and composite samples from 2019, 2010, 2008, and 2004. B12 was analysed only in composite 2010 samples. Carotenes and cryptoxanthin were analysed only in composite 2019 sample. Vitamin C was analysed only in composite 2010 samples. Alcohol, caffeine, cholesterol and vitamins (D, retinol) were imputed zero.",5.7,0.9,0,100%,0%,12204,"Breads, and bread rolls, mixed grain, mandatorily fortified"
F001644,1965,Recipe,"Bread, mixed grain, toasted","Commercially prepared sliced or unsliced bread made from white and/or wholemeal flour with added kibbled grains. Contains added folic acid, iodised salt and thiamin. Contains added folic acid, iodised salt and thiamin. Cooked by toasting after purchase.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12204,"Breads, and bread rolls, mixed grain, mandatorily fortified"
F001513,1948,Recipe,"Bread, from white flour, extra grainy & seeds","Commercially prepared bread made from white wheaten flour with added kibbled grains (including rye, wheat, corn, buckwheat, triticale, purple wheat, millet, oats, and barley) and seeds (including linseed, sunflower and sesame seeds). Contains added folic acid, iodised salt and thiamin.",These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.,0,0,0,100%,0%,12204,"Breads, and bread rolls, mixed grain, mandatorily fortified"
